NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
"(22, 13, 0, 41)","(75.585, -0.478, -6.572)","(216, 22.0, 58.82)",50.46,10756,"(117, 126, 150)","(20, 21, 31)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(22, 12, 0, 35)","(78.315, -1.223, -6.47)","(212, 22.56, 64.31)",55.62,10912,"(127, 138, 164)","(25, 27, 38)"
"(40, 21, 0, 57)","(64.309, -2.338, -10.057)","(211, 40.74, 42.35)",32.23,40000,"(64, 78, 108)","(7, 8, 15)"
"(25, 12, 0, 30)","(80.266, -2.093, -7.08)","(209, 25.42, 69.41)",59.49,12174,"(132, 147, 177)","(29, 31, 46)"
"(18, 7, 0, 28)","(82.953, -2.024, -4.596)","(205, 18.03, 71.76)",65.09,9342,"(150, 162, 183)","(35, 38, 50)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(43, 21, 0, 27)","(77.965, -3.961, -12.725)","(209, 43.24, 72.55)",54.94,40000,"(105, 132, 185)","(24, 27, 50)"
"(37, 19, 0, 55)","(65.983, -2.122, -9.287)","(211, 37.17, 44.31)",34.64,26788,"(71, 84, 113)","(9, 9, 17)"
"(32, 17, 0, 20)","(82.433, -2.016, -10.199)","(212, 32.18, 79.22)",63.98,17714,"(137, 157, 202)","(34, 37, 61)"
"(31, 15, 0, 26)","(80.695, -2.495, -9.061)","(210, 31.02, 73.33)",60.36,16432,"(129, 148, 187)","(30, 32, 52)"
"(26, 11, 0, 31)","(79.919, -2.873, -6.813)","(206, 26.44, 68.24)",58.79,12825,"(128, 144, 174)","(28, 30, 44)"
"(30, 16, 0, 46)","(71.546, -1.513, -8.454)","(213, 30.88, 53.33)",43.38,16048,"(94, 107, 136)","(15, 16, 26)"
"(27, 15, 0, 61)","(63.844, -1.079, -6.645)","(213, 27.84, 38.04)",31.58,13557,"(70, 78, 97)","(7, 7, 12)"
"(35, 19, 0, 57)","(65.27, -1.775, -8.944)","(212, 35.78, 42.75)",33.6,23498,"(70, 82, 109)","(8, 9, 15)"
"(45, 22, 0, 27)","(77.337, -4.002, -13.423)","(210, 45.11, 72.16)",53.74,40000,"(101, 128, 184)","(23, 25, 49)"
"(30, 14, 0, 58)","(66.018, -2.306, -6.73)","(208, 30.19, 41.57)",34.69,15336,"(74, 85, 106)","(8, 9, 14)"
"(34, 17, 0, 49)","(69.72, -2.285, -9.007)","(211, 34.88, 50.59)",40.39,21113,"(84, 98, 129)","(12, 13, 22)"
"(27, 13, 0, 47)","(72.39, -2.072, -6.868)","(209, 27.41, 52.94)",44.81,13303,"(98, 110, 135)","(15, 17, 25)"
"(34, 18, 0, 58)","(64.741, -1.816, -8.295)","(212, 34.29, 41.18)",32.85,20443,"(69, 80, 105)","(8, 8, 14)"
"(27, 11, 0, 32)","(79.64, -3.27, -6.972)","(205, 27.75, 67.84)",58.23,13557,"(125, 142, 173)","(27, 30, 44)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(27, 15, 0, 50)","(70.029, -1.007, -7.535)","(214, 27.78, 49.41)",40.88,13557,"(91, 101, 126)","(12, 13, 21)"
"(100, 0, 0, 99)","(0.216, -0.261, -0.092)","(180, 100.0, 0.39)",0.31,40000,"(0, 0, 1)","(0, 0, 0)"
"(17, 8, 0, 32)","(81.167, -1.735, -4.638)","(207, 17.92, 67.84)",61.33,9342,"(142, 152, 173)","(31, 33, 44)"
"(0, 10, 17, 49)","(72.862, 1.99, 3.987)","(23, 17.97, 50.2)",45.62,5121,"(128, 119, 105)","(17, 17, 15)"
"(0, 15, 25, 61)","(65.48, 2.482, 5.283)","(24, 25.25, 38.82)",33.91,4623,"(99, 90, 74)","(9, 9, 7)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
